Product, Origin Year, Development Year, Incremental Value
Product 3,2005,2009,138
Product 3,2005,2010,20
Product 3,2005,2011,97
Product 3,2005,2012,115
Product 3,2005,2013,105
Product 3,2005,2014,169
Product 3,2005,2015,61
Product 3,2005,2016,177
Product 3,2005,2017,10
Product 3,2005,2018,164
Product 3,2005,2019,75
Product 3,2005,2020,15
Product 3,2005,2021,151
Product 3,2005,2022,92
Product 3,2005,2023,88
Product 3,2005,2024,195
Product 3,2006,2006,149
Product 3,2006,2007,136
Product 3,2006,2008,78
Product 3,2006,2009,22
Product 3,2006,2010,170
Product 3,2006,2011,152
Product 3,2006,2012,93
Product 3,2006,2013,97
Product 3,2006,2014,120
Product 3,2006,2015,91
Product 3,2006,2016,6
Product 3,2006,2017,132
Product 3,2006,2018,195
Product 3,2006,2019,128
Product 3,2006,2020,113
Product 3,2006,2021,103
Product 3,2006,2022,107
Product 3,2006,2023,30
Product 3,2006,2024,132
Product 3,2006,2025,71
Product 3,2007,2007,104
Product 3,2007,2008,183
Product 3,2007,2009,90
Product 3,2007,2010,13
Product 3,2007,2011,49
Product 3,2007,2012,8
Product 3,2007,2013,64
Product 3,2007,2014,86
Product 3,2007,2015,175
Product 3,2007,2016,143
Product 3,2007,2017,99
Product 3,2007,2018,67
Product 3,2007,2019,180
Product 3,2007,2020,106
Product 3,2007,2021,185
Product 3,2007,2022,91
Product 3,2007,2023,95
Product 3,2007,2024,21
Product 3,2007,2025,177
Product 3,2007,2026,137
Product 3,2008,2008,166
Product 3,2008,2009,5
Product 3,2008,2010,114
Product 3,2008,2011,127
Product 3,2008,2012,23
Product 3,2008,2013,118
Product 3,2008,2014,81
Product 3,2008,2015,29
Product 3,2008,2016,14
Product 3,2008,2017,75
Product 3,2008,2018,183
Product 3,2008,2019,160
Product 3,2008,2020,82
Product 3,2008,2021,89
Product 3,2008,2022,195
Product 3,2008,2023,117
Product 3,2008,2024,146
Product 3,2008,2025,93
Product 3,2008,2026,107
Product 3,2008,2027,34
Product 3,2009,2009,146
Product 3,2009,2010,130
Product 3,2009,2011,109
Product 3,2009,2012,107
Product 3,2009,2013,200
Product 3,2009,2014,1
Product 3,2009,2015,101
Product 3,2009,2016,158
Product 3,2009,2017,38
Product 3,2009,2018,134
Product 3,2009,2019,54
Product 3,2009,2020,184
Product 3,2009,2021,153
Product 3,2009,2022,20
Product 3,2009,2023,194
Product 3,2009,2024,138
Product 3,2009,2025,156
Product 3,2009,2026,133
Product 3,2009,2027,18
Product 3,2009,2028,102
